timestamp,price_gbp,short_ma,long_ma,signal,cash_gbp,coin_holdings,total_value_gbp
2026-09-10T21:22:19.016997+00:00,57132.3,57177.833333333336,57463.96153846154,hold,100.0,0.0,100.0
2026-09-10T21:40:37.526259+00:00,57120.0,57176.80833333333,57463.48846153846,hold,100.0,0.0,100.0
2026-09-10T21:53:29.807085+00:00,57109.6,57175.94166666667,57463.088461538464,hold,100.0,0.0,100.0
2026-09-10T22:12:39.482930+00:00,57076.7,57136.375,57437.100000000006,hold,100.0,0.0,100.0
2026-09-10T22:28:36.279608+00:00,57120.0,57139.98333333334,57438.765384615384,hold,100.0,0.0,100.0
2026-09-10T22:42:59.077838+00:00,56889.0,57120.73333333334,57429.88076923077,hold,100.0,0.0,100.0
2026-09-10T22:54:43.734225+00:00,56919.0,57123.23333333334,57431.03461538461,hold,100.0,0.0,100.0
2026-09-10T23:11:32.516607+00:00,56757.0,57054.725,57394.36153846153,hold,100.0,0.0,100.0
2026-09-10T23:26:00.470966+00:00,56764.4,57055.34166666667,57394.64615384616,hold,100.0,0.0,100.0
2026-09-10T23:39:55.299545+00:00,56835.5,57061.26666666666,57397.38076923077,hold,100.0,0.0,100.0
2026-09-10T23:52:18.152807+00:00,56804.7,57058.700000000004,57396.196153846155,hold,100.0,0.0,100.0
2026-09-11T00:20:09.976145+00:00,56831.7,57041.74166666667,57364.053846153845,hold,100.0,0.0,100.0
2026-09-11T00:45:01.057554+00:00,56810.5,57039.975,57363.23846153846,hold,100.0,0.0,100.0
2026-09-11T00:58:47.409933+00:00,56801.0,57039.18333333333,57362.873076923075,hold,100.0,0.0,100.0
2026-09-11T01:17:15.590778+00:00,56887.1,57021.583333333336,57328.13846153847,hold,100.0,0.0,100.0
2026-09-11T01:42:19.696998+00:00,56907.4,57023.275,57328.91923076923,hold,100.0,0.0,100.0
2026-09-11T01:55:56.783665+00:00,56976.7,57029.049999999996,57331.584615384614,hold,100.0,0.0,100.0
2026-09-11T02:15:31.754317+00:00,56957.6,57007.6,57302.015384615384,hold,100.0,0.0,100.0
2026-09-11T02:42:17.978924+00:00,56940.9,57006.208333333336,57301.373076923075,hold,100.0,0.0,100.0
2026-09-11T02:55:27.543514+00:00,56908.5,57003.50833333333,57300.126923076925,hold,100.0,0.0,100.0
2026-09-11T03:14:17.878933+00:00,56815.2,56986.53333333333,57268.24615384615,hold,100.0,0.0,100.0
2026-09-11T03:32:19.544460+00:00,56876.8,56991.666666666664,57270.61538461538,hold,100.0,0.0,100.0
2026-09-11T03:54:50.340467+00:00,56897.0,56993.35,57271.39230769231,hold,100.0,0.0,100.0
2026-09-11T04:14:57.897404+00:00,56991.8,56988.5,57244.5,hold,100.0,0.0,100.0
2026-09-11T04:32:39.356658+00:00,57135.2,57000.450000000004,57250.015384615384,hold,100.0,0.0,100.0
2026-09-11T04:54:29.426569+00:00,57109.5,56998.30833333333,57249.02692307692,hold,100.0,0.0,100.0
2026-09-11T05:13:14.642276+00:00,57120.2,56990.73333333334,57225.32692307692,hold,100.0,0.0,100.0
2026-09-11T05:30:20.387995+00:00,57066.0,56986.21666666667,57223.24230769231,hold,100.0,0.0,100.0
2026-09-11T05:45:41.343624+00:00,57115.6,56990.35,57225.149999999994,hold,100.0,0.0,100.0
2026-09-11T06:02:51.408596+00:00,57173.1,56998.166666666664,57200.99615384615,hold,100.0,0.0,100.0
2026-09-11T06:17:42.119311+00:00,57240.8,57003.80833333333,57203.600000000006,hold,100.0,0.0,100.0
2026-09-11T06:46:25.664784+00:00,57108.8,56992.80833333333,57198.523076923084,hold,100.0,0.0,100.0
2026-09-11T07:14:28.827149+00:00,57213.6,57004.10833333334,57173.903846153844,hold,100.0,0.0,100.0
2026-09-11T07:32:54.045739+00:00,57197.6,57002.775,57173.28846153846,hold,100.0,0.0,100.0
2026-09-11T07:54:15.154157+00:00,57133.8,56997.458333333336,57170.834615384614,hold,100.0,0.0,100.0
2026-09-11T08:15:51.892801+00:00,57090.1,56990.90833333333,57142.057692307695,hold,100.0,0.0,100.0
2026-09-11T08:43:49.717873+00:00,57275.1,57006.325000000004,57149.17307692308,hold,100.0,0.0,100.0
2026-09-11T08:57:35.113358+00:00,57259.3,57005.00833333333,57148.56538461538,hold,100.0,0.0,100.0
2026-09-11T09:18:10.357716+00:00,57226.2,57017.583333333336,57133.63846153847,hold,100.0,0.0,100.0
2026-09-11T09:42:16.332120+00:00,56943.8,56994.049999999996,57122.77692307692,hold,100.0,0.0,100.0
2026-09-11T09:55:54.498637+00:00,57030.6,57001.28333333333,57126.11538461538,hold,100.0,0.0,100.0
2026-09-11T10:16:34.491770+00:00,57051.6,57015.625,57104.226923076916,hold,100.0,0.0,100.0
2026-09-11T10:42:19.525801+00:00,57014.3,57012.51666666666,57102.79230769231,hold,100.0,0.0,100.0
2026-09-11T10:55:25.239568+00:00,57039.4,57014.60833333334,57103.75769230769,hold,100.0,0.0,100.0
2026-09-11T11:14:17.820984+00:00,56878.1,57031.575000000004,57078.02692307692,hold,100.0,0.0,100.0
2026-09-11T11:30:58.126712+00:00,56923.3,57035.34166666667,57079.765384615384,hold,100.0,0.0,100.0
2026-09-11T11:52:41.933945+00:00,56957.4,57038.18333333333,57081.07692307692,hold,100.0,0.0,100.0
2026-09-11T12:18:39.402981+00:00,57009.1,57061.924999999996,57063.765384615384,hold,100.0,0.0,100.0
2026-09-11T12:46:26.851909+00:00,57483.1,57101.424999999996,57081.99615384615,buy,0.0,0.00173511866966117,99.74
2026-09-11T13:14:15.587001+00:00,57377.5,57149.76666666666,57082.54230769231,hold,0.0,0.00173511866966117,99.55677146848377
2026-09-11T13:31:57.028042+00:00,57420.5,57153.35,57084.196153846155,hold,0.0,0.00173511866966117,99.6313815712792
2026-09-11T13:54:10.560750+00:00,58238.6,57221.525,57115.661538461536,hold,0.0,0.00173511866966117,101.05088215492901
2026-09-11T14:14:37.714307+00:00,58508.1,57382.76666666666,57190.21538461539,hold,0.0,0.00173511866966117,101.5184966364027
2026-09-11T14:32:18.697972+00:00,58344.2,57369.10833333334,57183.911538461536,hold,0.0,0.00173511866966117,101.23411068644522
2026-09-11T14:56:18.472625+00:00,58308.4,57366.125,57182.53461538461,hold,0.0,0.00173511866966117,101.17199343807137
2026-09-11T15:14:36.137720+00:00,58109.8,57467.19166666667,57221.438461538455,hold,0.0,0.00173511866966117,100.82739887027665
2026-09-11T15:31:37.942149+00:00,58207.8,57475.35833333334,57225.20769230769,hold,0.0,0.00173511866966117,100.99744049990345
2026-09-11T15:54:05.720942+00:00,57496.3,57416.06666666667,57197.842307692306,hold,0.0,0.00173511866966117,99.76290356643953
2026-09-11T16:14:41.969613+00:00,57588.3,57455.03333333333,57211.88461538462,hold,0.0,0.00173511866966117,99.92253448404836
2026-09-11T16:32:54.490962+00:00,57363.1,57436.26666666666,57203.22307692308,hold,0.0,0.00173511866966117,99.53178575964066
2026-09-11T16:53:10.636415+00:00,57582.0,57454.50833333333,57211.64230769231,hold,0.0,0.00173511866966117,99.91160323642949
2026-09-11T17:12:45.017250+00:00,57593.8,57493.700000000004,57235.661538461536,hold,0.0,0.00173511866966117,99.93207763673149
2026-09-11T17:23:47.806524+00:00,57541.0,57489.299999999996,57233.63076923077,hold,0.0,0.00173511866966117,99.84046337097338
2026-09-11T17:28:59.713367+00:00,57579.3,57492.49166666667,57235.10384615384,hold,0.0,0.00173511866966117,99.90691841602141
2026-09-11T17:43:15.239399+00:00,57380.8,57475.950000000004,57227.46923076923,hold,0.0,0.00173511866966117,99.56249736009367
2026-09-11T17:55:05.504783+00:00,57341.4,57472.666666666664,57225.95384615385,hold,0.0,0.00173511866966117,99.49413368450901
2026-09-11T18:07:28.916044+00:00,57019.5,57461.799999999996,57224.58076923077,hold,0.0,0.00173511866966117,98.93559898474508
2026-09-11T18:11:44.538321+00:00,56949.0,57455.924999999996,57221.86923076923,hold,0.0,0.00173511866966117,98.81327311853397
2026-09-11T18:16:20.979271+00:00,56949.4,57455.958333333336,57221.88461538462,hold,0.0,0.00173511866966117,98.81396716600183
2026-09-11T18:27:00.220350+00:00,57062.8,57465.40833333333,57226.24615384615,hold,0.0,0.00173511866966117,99.01072962314142
2026-09-11T18:42:10.852679+00:00,57112.5,57469.549999999996,57228.157692307694,hold,0.0,0.00173511866966117,99.09696502102356
2026-09-11T18:57:18.804963+00:00,56949.4,57455.958333333336,57221.88461538462,hold,0.0,0.00173511866966117,98.81396716600183
2026-09-11T19:12:26.995734+00:00,57068.3,57451.75,57217.407692307694,hold,0.0,0.00173511866966117,99.02027277582455
2026-09-11T19:27:39.595527+00:00,57139.5,57457.68333333333,57220.14615384616,hold,0.0,0.00173511866966117,99.14381322510442
2026-09-11T19:42:47.649302+00:00,57154.4,57458.924999999996,57220.71923076923,hold,0.0,0.00173511866966117,99.16966649328238
2026-09-11T19:57:56.009795+00:00,57192.2,57462.075000000004,57222.17307692308,hold,0.0,0.00173511866966117,99.23525397899556
2026-09-11T20:13:03.820693+00:00,57269.4,57461.35,57227.273076923084,hold,0.0,0.00173511866966117,99.3692051402934
2026-09-11T20:28:14.339427+00:00,57239.8,57458.88333333333,57226.13461538462,hold,0.0,0.00173511866966117,99.31784562767145
2026-09-11T20:43:22.932405+00:00,57234.9,57458.475,57225.946153846155,hold,0.0,0.00173511866966117,99.30934354619009
2026-09-11T20:58:31.248040+00:00,57155.3,57451.84166666667,57222.88461538462,hold,0.0,0.00173511866966117,99.17122810008507
2026-09-11T21:13:39.148500+00:00,57218.8,57467.525,57226.91923076923,hold,0.0,0.00173511866966117,99.28140813560856
2026-09-11T21:28:48.281348+00:00,57230.4,57468.49166666667,57227.36538461538,hold,0.0,0.00173511866966117,99.30153551217663
2026-09-11T21:43:55.821901+00:00,57202.9,57466.200000000004,57226.307692307695,hold,0.0,0.00173511866966117,99.25381974876095
2026-09-11T21:59:03.373740+00:00,57026.6,57451.50833333333,57219.52692307692,hold,0.0,0.00173511866966117,98.94791832729967
2026-09-11T22:14:10.917791+00:00,57065.4,57451.725,57214.21538461539,hold,0.0,0.00173511866966117,99.01524093168253
2026-09-11T22:29:20.152502+00:00,57048.4,57450.30833333333,57213.561538461545,hold,0.0,0.00173511866966117,98.9857439142983
2026-09-11T22:44:27.911773+00:00,57049.2,57450.375,57213.592307692306,hold,0.0,0.00173511866966117,98.98713200923402
2026-09-11T22:59:36.362773+00:00,57033.8,57449.09166666667,57213.0,hold,0.0,0.00173511866966117,98.96041118172124
2026-09-11T23:14:43.808792+00:00,57021.4,57448.025,57210.20384615385,hold,0.0,0.00173511866966117,98.93889571021744
2026-09-11T23:29:52.628557+00:00,57045.7,57450.049999999996,57211.13846153847,hold,0.0,0.00173511866966117,98.9810590938902
2026-09-11T23:44:59.955417+00:00,57070.0,57452.075000000004,57212.07307692307,hold,0.0,0.00173511866966117,99.02322247756297
2026-09-12T00:00:08.587723+00:00,57095.2,57407.15833333333,57221.338461538464,hold,0.0,0.00173511866966117,99.06694746803842
2026-09-12T00:15:16.006781+00:00,57142.8,57411.125,57223.16923076923,hold,0.0,0.00173511866966117,99.14953911671431
2026-09-12T00:30:25.005269+00:00,57146.3,57411.416666666664,57223.303846153845,hold,0.0,0.00173511866966117,99.15561203205812
2026-09-12T00:45:32.563009+00:00,57111.2,57408.49166666667,57221.95384615385,hold,0.0,0.00173511866966117,99.09470936675301
2026-09-12T01:00:40.180560+00:00,57151.8,57293.375,57241.876923076925,hold,0.0,0.00173511866966117,99.16515518474125
2026-09-12T01:15:47.499616+00:00,57151.9,57293.38333333333,57241.88076923077,hold,0.0,0.00173511866966117,99.16532869660823
2026-09-12T01:30:56.576190+00:00,57190.1,57296.56666666667,57243.350000000006,hold,0.0,0.00173511866966117,99.23161022978927
2026-09-12T01:46:03.993489+00:00,57142.5,57292.6,57241.519230769234,hold,0.0,0.00173511866966117,99.14901858111341
2026-09-12T02:01:11.546418+00:00,57139.2,57194.89166666666,57254.399999999994,sell,98.8855201285108,0.0,98.8855201285108
2026-09-12T02:16:19.071425+00:00,57144.0,57195.291666666664,57254.584615384614,hold,98.8855201285108,0.0,98.8855201285108
2026-09-12T02:31:27.926467+00:00,57165.1,57197.049999999996,57255.39615384616,hold,98.8855201285108,0.0,98.8855201285108
2026-09-12T02:46:34.991997+00:00,57095.0,57191.208333333336,57252.7,hold,98.8855201285108,0.0,98.8855201285108
2026-09-12T03:01:42.013195+00:00,57124.7,57161.36666666667,57258.596153846156,hold,98.8855201285108,0.0,98.8855201285108
2026-09-12T03:16:49.404724+00:00,57128.3,57161.666666666664,57258.734615384616,hold,98.8855201285108,0.0,98.8855201285108
2026-09-12T03:31:58.400091+00:00,57112.4,57160.34166666667,57258.123076923075,hold,98.8855201285108,0.0,98.8855201285108
2026-09-12T03:47:05.597399+00:00,57112.4,57160.34166666667,57258.123076923075,hold,98.8855201285108,0.0,98.8855201285108
